date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2023-12-27,171411.06,6121.823571428571,28,-704.8892269999999,-25.174615249999995,153.67464419092525,0.37319214285714286,0.06441842658841482,0.14285714285714285,1,73,Greed,2023-12-27 05:30:00,171411.06,-25.174615249999995,-0.16381762510361225
2023-12-28,100117.25,4352.923913043478,23,-970.730876,-42.20569026086957,55.01514381004261,0.4032943478260869,0.06388070635077168,0.0,1,73,Greed,2023-12-28 05:30:00,100117.25,-42.20569026086957,-0.7671649538279536
2023-12-29,569559.72,11391.1944,50,508.92214299999995,10.178442859999999,78.11192586732814,3836.17816,11648.744735988827,0.3,1,65,Greed,2023-12-29 05:30:00,569559.72,10.178442859999999,0.13030587515263575
2023-12-30,702550.21,13510.58096153846,52,354.998648,6.826897076923077,68.40190063585914,13421.615271153847,18438.660298843733,0.4423076923076923,1,68,Greed,2023-12-30 05:30:00,702550.21,6.826897076923077,0.09980566348976759
2024-01-01,264239.52999999997,14679.973888888888,18,-129.53146,-7.196192222222223,85.84776860469921,10373.330666666667,17773.70614824905,0.05555555555555555,1,65,Greed,2024-01-01 05:30:00,264239.52999999997,-7.196192222222223,-0.08382503516612441
2024-01-02,121348.74,7138.1611764705885,17,783.979116,46.11641858823529,134.42834386429288,10199.892598764705,18953.92703976332,0.47058823529411764,1,71,Greed,2024-01-02 05:30:00,121348.74,46.11641858823529,0.3430557668313641
2024-01-03,394499.36,5888.050149253731,67,866.015507,12.925604582089552,50.415365667933756,738.8837898507463,1048.4157183426262,0.417910447761194,1,70,Greed,2024-01-03 05:30:00,394499.36,12.925604582089552,0.2563822440012722
2024-01-04,99792.54000000001,19958.508,5,-67.60364,-13.520728,29.544005214373353,2212.62,1.625423021862385,0.0,1,68,Greed,2024-01-04 05:30:00,99792.54000000001,-13.520728,-0.4576470895497296
2024-01-05,1703942.66,25817.31303030303,66,164.141565,2.486993409090909,60.7235758141571,30495.46818181818,19454.241857154553,0.19696969696969696,1,72,Greed,2024-01-05 05:30:00,1703942.66,2.486993409090909,0.04095597757125316
2024-01-06,298521.4,13569.154545454547,22,135.58166400000002,6.16280290909091,37.338371573804935,6586.107318181818,15151.388468026682,0.45454545454545453,1,70,Greed,2024-01-06 05:30:00,298521.4,6.16280290909091,0.1650528035725714
2024-01-07,1048850.06,10812.887216494846,97,-835.681235,-8.615270463917525,34.037905927281535,7513.911021649485,15751.431533109208,0.09278350515463918,1,71,Greed,2024-01-07 05:30:00,1048850.06,-8.615270463917525,-0.25310812252443377
2024-01-08,1522452.43,11894.159609375,128,-269.874439,-2.1083940546875,122.41963598502315,15078.63093734375,20290.967629114057,0.25,1,71,Greed,2024-01-08 05:30:00,1522452.43,-2.1083940546875,-0.017222678679958185
2024-01-09,870051.97,12429.313857142857,70,-826.349863,-11.804998042857143,214.1803231936485,14127.109546714286,20885.372418201398,0.2571428571428571,1,76,Extreme Greed,2024-01-09 05:30:00,870051.97,-11.804998042857143,-0.05511709883911138
2024-01-10,2057479.48,10660.515440414507,193,-1517.091342,-7.860576901554404,119.7894328095249,12914.76879230052,19322.706929713844,0.21243523316062177,1,73,Greed,2024-01-10 05:30:00,2057479.48,-7.860576901554404,-0.06561995258841713
2024-01-11,305314.1,14538.766666666666,21,-164.08950099999998,-7.813785761904761,101.92627878710132,12141.70542857143,19629.102693301003,0.23809523809523808,2,76,Extreme Greed,2024-01-11 05:30:00,152657.05,-7.813785761904761,-0.07666115014584039
2024-01-12,200082.27,28583.181428571428,7,-1925.519024,-275.0741462857143,669.9280140108323,39774.47142857143,17550.311600910325,0.0,1,71,Greed,2024-01-12 05:30:00,200082.27,-275.0741462857143,-0.41060254315811684
2024-01-15,50636.1,3616.8642857142854,14,152.85358,10.918112857142857,33.645786328134285,16738.085714285717,19814.335564661535,0.6428571428571429,2,52,Neutral,2024-01-15 05:30:00,25318.05,10.918112857142857,0.32450164043315094
2024-01-16,116427.33,12936.37,9,-2299.171458,-255.4634953333333,883.8757688873994,19105.61008888889,22637.910323166485,0.3333333333333333,2,64,Greed,2024-01-16 05:30:00,58213.665,-255.4634953333333,-0.2890264721872671
2024-01-17,800831.03,15110.019433962265,53,813.2741110000001,15.344794547169812,75.6265391448607,20112.302,21383.464156033846,0.20754716981132076,1,60,Greed,2024-01-17 05:30:00,800831.03,15.344794547169812,0.20290224464426768
2024-01-18,424631.52999999997,9231.120217391304,46,68.93319,1.4985476086956522,39.503091785872144,24363.11304347826,20233.316546710317,0.06521739130434782,1,63,Greed,2024-01-18 05:30:00,424631.52999999997,1.4985476086956522,0.037934944859976547
2024-01-19,428428.97,8925.603541666665,48,-385.419235,-8.029567395833334,51.79852685525565,14421.93125,18166.842917918395,0.125,2,51,Neutral,2024-01-19 05:30:00,214214.485,-8.029567395833334,-0.15501536208299768
