,classification,total_pnl_mean,total_pnl_std,total_pnl_sum,avg_pnl_mean,avg_pnl_std,profit_ratio_mean,profit_ratio_std,total_volume_mean,total_volume_std,avg_trade_size_mean,avg_trade_size_std,unique_traders_mean,unique_traders_std,trade_count_mean,trade_count_sum
0,Extreme Fear,52793.589177857146,101262.39406478225,739110.24849,38.433903439293466,74.22235923842523,0.32734082697603883,0.22127328628292112,8177447.245714285,8320513.834497222,4091.8043663217154,2509.2880662941366,11.428571428571429,6.3088983033646855,1528.5714285714287,21400
1,Extreme Greed,23817.292198885963,72827.30158138096,2715171.310673,56.7361082796809,117.42374391112192,0.4674238865175576,0.2614681715973881,1091799.6892105262,1632904.9492805235,4410.524481610627,3441.6569512214605,4.614035087719298,4.140259433386887,350.8070175438597,39992
2,Fear,36891.81804002198,96611.84850257315,3357155.441642,31.27656675284989,129.54784656082046,0.3291124444268537,0.2530792860213369,5311261.426263737,10205701.72900683,6524.2949367587935,6343.2067439754965,6.923076923076923,5.731454671335424,679.5274725274726,61837
3,Greed,11140.566181093263,62427.95794864583,2150129.272951,39.412175424226334,136.17013998856626,0.335985537160085,0.25501462740208636,1495246.0866321241,4899283.941641264,6735.295812914844,5864.29746180917,3.3575129533678756,3.8244904387011815,260.6373056994819,50303
4,Neutral,19297.323515671644,37995.209071285164,1292920.67555,63.82069932307448,225.33639219604953,0.33188630490067184,0.267221022281576,2690180.045970149,5689847.266732704,7157.527121411409,6297.817574905824,5.611940298507463,5.274165807602061,562.4776119402985,37686
