date,value,signal,strategy_return,cumulative_return
2024-04-08,76,SELL,-0.0,-146422.46682099998
2024-04-09,80,SELL,-5207.443414,-151629.910235
2024-04-10,78,SELL,-389.743164,-152019.653399
2024-04-11,76,SELL,592.6458390000001,-151427.00756
2024-04-12,79,SELL,-6621.451755,-158048.459315
2024-04-13,72,HOLD,0.0,-158048.459315
2024-04-14,72,HOLD,0.0,-158048.459315
2024-04-15,74,HOLD,0.0,-158048.459315
2024-04-16,65,HOLD,0.0,-158048.459315
2024-04-17,67,HOLD,0.0,-158048.459315
2024-04-19,66,HOLD,0.0,-158048.459315
2024-04-20,66,HOLD,0.0,-158048.459315
2024-04-22,73,HOLD,0.0,-158048.459315
2024-04-23,71,HOLD,0.0,-158048.459315
2024-04-24,72,HOLD,0.0,-158048.459315
2024-04-25,72,HOLD,0.0,-158048.459315
2024-04-26,70,HOLD,0.0,-158048.459315
2024-04-27,67,HOLD,0.0,-158048.459315
2024-04-28,65,HOLD,0.0,-158048.459315
2024-04-29,67,HOLD,0.0,-158048.459315
2024-04-30,67,HOLD,0.0,-158048.459315
2024-05-01,54,HOLD,0.0,-158048.459315
2024-05-03,48,HOLD,0.0,-158048.459315
2024-05-04,67,HOLD,0.0,-158048.459315
2024-05-05,69,HOLD,0.0,-158048.459315
2024-05-06,71,HOLD,0.0,-158048.459315
2024-05-07,68,HOLD,0.0,-158048.459315
2024-05-08,64,HOLD,0.0,-158048.459315
2024-05-09,55,HOLD,0.0,-158048.459315
2024-05-10,66,HOLD,0.0,-158048.459315
2024-05-11,53,HOLD,0.0,-158048.459315
2024-05-12,56,HOLD,0.0,-158048.459315
2024-05-13,57,HOLD,0.0,-158048.459315
2024-05-14,66,HOLD,0.0,-158048.459315
2024-05-15,64,HOLD,0.0,-158048.459315
2024-05-16,70,HOLD,0.0,-158048.459315
2024-05-18,73,HOLD,0.0,-158048.459315
2024-05-19,72,HOLD,0.0,-158048.459315
2024-05-20,70,HOLD,0.0,-158048.459315
2024-05-21,76,SELL,-0.0,-158048.459315
2024-05-22,76,SELL,-413.347329,-158461.806644
2024-05-23,76,SELL,-821.949278,-159283.75592199998
2024-05-24,74,HOLD,0.0,-159283.75592199998
2024-05-25,76,SELL,-778.6839,-160062.439822
2024-05-26,75,SELL,-1129.35587,-161191.79569199999
2024-05-27,74,HOLD,0.0,-161191.79569199999
2024-05-29,72,HOLD,0.0,-161191.79569199999
2024-05-30,73,HOLD,0.0,-161191.79569199999
2024-05-31,73,HOLD,0.0,-161191.79569199999
2024-06-01,72,HOLD,0.0,-161191.79569199999
2024-06-02,73,HOLD,0.0,-161191.79569199999
2024-06-03,73,HOLD,0.0,-161191.79569199999
2024-06-04,73,HOLD,0.0,-161191.79569199999
2024-06-05,75,SELL,-274.173187,-161465.968879
2024-06-06,78,SELL,-8902.467416,-170368.436295
2024-06-07,77,SELL,-129.13883900000002,-170497.57513399998
2024-06-08,72,HOLD,0.0,-170497.57513399998
2024-06-09,75,SELL,-31.266804999999998,-170528.84193899998
2024-06-10,72,HOLD,0.0,-170528.84193899998
2024-06-11,74,HOLD,0.0,-170528.84193899998
2024-06-12,72,HOLD,0.0,-170528.84193899998
2024-06-13,70,HOLD,0.0,-170528.84193899998
2024-06-14,74,HOLD,0.0,-170528.84193899998
2024-06-15,74,HOLD,0.0,-170528.84193899998
2024-06-16,71,HOLD,0.0,-170528.84193899998
2024-06-17,71,HOLD,0.0,-170528.84193899998
2024-06-18,74,HOLD,0.0,-170528.84193899998
2024-06-19,64,HOLD,0.0,-170528.84193899998
2024-06-20,60,HOLD,0.0,-170528.84193899998
2024-06-21,63,HOLD,0.0,-170528.84193899998
2024-06-22,53,HOLD,0.0,-170528.84193899998
2024-06-23,55,HOLD,0.0,-170528.84193899998
2024-06-24,51,HOLD,0.0,-170528.84193899998
2024-06-25,30,HOLD,0.0,-170528.84193899998
2024-06-26,46,HOLD,0.0,-170528.84193899998
2024-06-27,40,HOLD,0.0,-170528.84193899998
2024-06-29,30,HOLD,0.0,-170528.84193899998
2024-06-30,47,HOLD,0.0,-170528.84193899998
2024-07-01,53,HOLD,0.0,-170528.84193899998
2024-07-02,51,HOLD,0.0,-170528.84193899998
2024-07-03,50,HOLD,0.0,-170528.84193899998
2024-07-04,44,HOLD,0.0,-170528.84193899998
2024-07-05,29,HOLD,0.0,-170528.84193899998
2024-07-06,26,HOLD,0.0,-170528.84193899998
2024-07-07,29,HOLD,0.0,-170528.84193899998
2024-07-08,28,HOLD,0.0,-170528.84193899998
2024-07-09,27,HOLD,0.0,-170528.84193899998
2024-07-10,28,HOLD,0.0,-170528.84193899998
2024-07-11,29,HOLD,0.0,-170528.84193899998
2024-07-12,25,BUY,2913.617837,-167615.22410199998
2024-07-13,25,BUY,0.0,-167615.22410199998
2024-07-14,33,HOLD,0.0,-167615.22410199998
2024-07-15,52,HOLD,0.0,-167615.22410199998
2024-07-16,65,HOLD,0.0,-167615.22410199998
2024-07-17,69,HOLD,0.0,-167615.22410199998
2024-07-18,61,HOLD,0.0,-167615.22410199998
2024-07-19,60,HOLD,0.0,-167615.22410199998
2024-07-20,74,HOLD,0.0,-167615.22410199998
2024-07-21,74,HOLD,0.0,-167615.22410199998
2024-07-22,70,HOLD,0.0,-167615.22410199998
2024-07-23,71,HOLD,0.0,-167615.22410199998
2024-07-24,69,HOLD,0.0,-167615.22410199998
2024-07-25,68,HOLD,0.0,-167615.22410199998
2024-07-26,68,HOLD,0.0,-167615.22410199998
2024-07-27,72,HOLD,0.0,-167615.22410199998
2024-07-28,71,HOLD,0.0,-167615.22410199998
2024-07-29,74,HOLD,0.0,-167615.22410199998
2024-07-30,67,HOLD,0.0,-167615.22410199998
2024-07-31,61,HOLD,0.0,-167615.22410199998
2024-08-01,52,HOLD,0.0,-167615.22410199998
2024-08-02,57,HOLD,0.0,-167615.22410199998
2024-08-03,37,HOLD,0.0,-167615.22410199998
2024-08-04,34,HOLD,0.0,-167615.22410199998
2024-08-05,26,HOLD,0.0,-167615.22410199998
2024-08-06,17,BUY,188.789255,-167426.43484699997
2024-08-07,29,HOLD,0.0,-167426.43484699997
2024-08-08,20,BUY,18082.071276,-149344.36357099997
2024-08-09,48,HOLD,0.0,-149344.36357099997
2024-08-10,40,HOLD,0.0,-149344.36357099997
2024-08-11,39,HOLD,0.0,-149344.36357099997
2024-08-12,25,BUY,212.08102,-149132.28255099995
2024-08-13,31,HOLD,0.0,-149132.28255099995
2024-08-14,30,HOLD,0.0,-149132.28255099995
2024-08-15,29,HOLD,0.0,-149132.28255099995
2024-08-16,27,HOLD,0.0,-149132.28255099995
2024-08-17,25,BUY,307.201888,-148825.08066299994
2024-08-18,31,HOLD,0.0,-148825.08066299994
2024-08-19,28,HOLD,0.0,-148825.08066299994
2024-08-20,30,HOLD,0.0,-148825.08066299994
2024-08-21,26,HOLD,0.0,-148825.08066299994
2024-08-23,34,HOLD,0.0,-148825.08066299994
2024-08-24,56,HOLD,0.0,-148825.08066299994
2024-08-25,54,HOLD,0.0,-148825.08066299994
2024-08-26,55,HOLD,0.0,-148825.08066299994
2024-08-27,48,HOLD,0.0,-148825.08066299994
